year,title,category,nominee,artist,winner,track_id,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Love Theory,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Talkin' 'Bout Jesus,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,See The Light,Stephen Sanchez,True,5nsFJfYtAFZmL9PbtYKYcA,Easy On My Eyes,See The Light,64,180146,False,0.728,0.796,4,-5.33,1,0.0461,0.162,9.28e-06,0.196,0.691,117.925,singer-songwriter
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Speak The Name,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,This Is A Move (Live),Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,God Only Knows,For King & Country,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Only Jesus,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,God's Not Done With You (Single Version),Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Rescue Story,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Burn The Ships,For King & Country,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,I Know A Ghost,Crowder,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Haven't Seen It Yet,Danny Gokey,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,The Elements,Tobymac,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
